ModelVariantName,SeatingID
UH-60A,1
680FL,2
680FL P,2
680FP,3
680T,2
680V,2
680W,2
681,4
690,3
690A,3
690B,3
AW139,5
AB139,5
AB205,6
AS61-N,7
212,6
AW189,8
AW169,9
AR 404,10
P2012 TRAVELLER,11
AN-24,12
M28,8
AN-32,13
24PT,13
MI-8MTB-1,14
AN-2,15
MI-8-MTV-1,14
AN-32B,13
IL 14,16
115-6.85,4
MI-17,14
AN-26B,17
AN-26,17
AIRSHIP,18
CH-53D,19
IL 78,20
M-28-05 SKYTRUCK,8
HARTMAN,21
2-P,22
S-55-P,9
MI-8MTV-1,14
KA-32C,23
AN-24T,24
BELL 205,6
YC 122B,7
YC-122C,7
C-12,25
3-CT-S,22
787-8,26
UB-18,27
787-83Q,26
MI-171,28
AN-74-200,29
CA-8SS52,25
K-78 (PATRICIAN),30
M28 05,8
S-70I,1
Y12E,31
DC3/C47,32
UB 14,27
190-100 AR,33
777-9,34
MI-171E,28
AX-19,8
L 410 MA TURBOLET,8
CLARK GA-43A,35
PATHFINDER 1,36
FORD 5-AT,5
NAVY F-5-L,37
ARGOSY AW650 SER 101,38
EC 155B1,39
34,21
18D,40
A18D,40
S18D,40
SA18D,40
A18A,25
SA18A,25
18S,40
C-45C,41
B18S,40
F-2,37
H-18S,40
H-18,40
2000,4
A200CT(C-12D),25
A200CT (RC-12P),37
A65-8200,41
70,42
65-A90-4,41
BE-99-FACH,5
BE-99-A99A,5
BE-200-A200CT,25
BE-100-A100A,25
BE-65-A90-4,41
BE-65-A901(RU21H),37
65-A90-1 (U-21A),41
BE-200-CT,25
B200CT,25
A200C,25
